timestamp_s,real_min,sim_hour,session_state,ac_voltage_v,pack_voltage_v,charge_current_a,charge_power_kw,soc_pct,pack_temp_c,connector_temp_c,connector_wear_pct,pilot_duty_pct,line_freq_hz,line_noise_v,dI_dt_a_per_s,anomaly_label,anomaly_score_0_1
0.0,0.0,0.0,CC_CV_CHARGING,239.989,298.119,0.0,0.0,0.0,24.957,25.755,0.0,10.0,60.0236,0.012,0.0,NONE,0.0957
0.05,0.0008,0.0008,CC_CV_CHARGING,240.388,297.634,0.285,0.066,0.007,25.223,25.762,0.0,10.0,60.0538,0.629,5.694,NONE,0.0894
0.1,0.0017,0.0017,CC_CV_CHARGING,240.117,298.354,0.041,0.009,0.014,24.813,25.638,0.0,10.0,60.0226,0.005,-4.876,NONE,0.1228
0.15,0.0025,0.0025,CC_CV_CHARGING,240.591,297.804,0.195,0.045,0.021,25.329,25.672,0.0,10.0,60.0127,0.616,3.074,NONE,0.054
0.2,0.0033,0.0033,CC_CV_CHARGING,239.504,297.678,0.246,0.057,0.028,25.08,25.718,0.0,10.0,60.0142,-0.442,1.022,NONE,0.0785
0.25,0.0042,0.0042,CC_CV_CHARGING,240.427,297.828,0.559,0.13,0.035,25.041,25.552,0.0,10.0,59.9845,0.575,6.259,NONE,0.0852
0.3,0.005,0.005,CC_CV_CHARGING,239.712,297.93,0.695,0.161,0.042,24.83,25.431,0.0,10.0,59.9472,-0.373,2.731,NONE,0.0766
0.35,0.0058,0.0058,CC_CV_CHARGING,239.761,298.526,0.364,0.084,0.049,24.857,25.541,0.0,10.0,60.0483,-0.35,-6.635,NONE,0.1104
0.4,0.0067,0.0067,CC_CV_CHARGING,240.083,298.088,0.767,0.178,0.056,25.081,25.552,0.0,10.0,60.0151,0.398,8.061,NONE,0.0867
0.45,0.0075,0.0075,CC_CV_CHARGING,239.96,298.455,1.042,0.241,0.062,25.192,25.531,0.0,10.0,60.0124,-0.016,5.513,NONE,0.0545
0.5,0.0083,0.0083,CC_CV_CHARGING,240.694,297.884,1.016,0.236,0.069,25.358,25.38,0.0,10.0,60.0314,0.428,-0.535,NONE,0.0
0.55,0.0092,0.0092,CC_CV_CHARGING,240.728,297.668,0.812,0.189,0.076,25.608,25.63,0.0,10.0,60.0173,0.676,-4.064,NONE,0.0123
0.6,0.01,0.01,CC_CV_CHARGING,240.153,298.229,1.015,0.235,0.083,25.47,25.586,0.001,10.0,60.0358,0.158,4.055,NONE,0.0207
0.65,0.0108,0.0108,CC_CV_CHARGING,240.207,298.454,0.877,0.203,0.09,25.55,25.568,0.001,10.0,59.9993,0.376,-2.767,NONE,0.0044
0.7,0.0117,0.0117,CC_CV_CHARGING,239.687,298.041,0.749,0.173,0.097,24.62,25.758,0.001,10.0,59.9779,-0.321,-2.558,NONE,0.1395
0.75,0.0125,0.0125,CC_CV_CHARGING,240.286,298.333,1.747,0.405,0.104,25.208,25.846,0.001,10.0,59.9917,0.244,19.962,NONE,0.1533
0.8,0.0133,0.0133,CC_CV_CHARGING,239.648,298.43,1.473,0.341,0.111,25.165,25.857,0.001,10.0,60.0546,-0.428,-5.483,NONE,0.0909
0.85,0.0142,0.0142,CC_CV_CHARGING,240.004,298.547,1.247,0.289,0.118,24.876,25.84,0.001,10.0,60.0549,-0.142,-4.514,NONE,0.1218
0.9,0.015,0.015,CC_CV_CHARGING,239.758,298.471,1.747,0.404,0.125,25.299,25.839,0.001,10.0,60.0116,-0.155,9.991,NONE,0.0917
0.95,0.0158,0.0158,CC_CV_CHARGING,240.079,298.74,1.402,0.325,0.132,25.98,25.786,0.001,10.0,60.042,0.036,-6.887,NONE,0.0
1.0,0.0167,0.0167,CC_CV_CHARGING,239.815,298.483,1.505,0.348,0.139,25.54,25.632,0.001,10.0,59.9871,-0.298,2.045,NONE,0.0014
