timestamp_s,real_min,sim_hour,session_state,ac_voltage_v,pack_voltage_v,charge_current_a,charge_power_kw,soc_pct,pack_temp_c,connector_temp_c,connector_wear_pct,pilot_duty_pct,line_freq_hz,line_noise_v,dI_dt_a_per_s,anomaly_label,anomaly_score_0_1
0.0,0.0,0.0,CC_CV_CHARGING,240.285,298.267,0.058,0.013,0.0,25.009,25.755,0.0,10.0,59.9768,0.133,1.157,NONE,0.0945
0.05,0.0008,0.0008,CC_CV_CHARGING,239.673,297.444,0.48,0.111,0.007,25.293,25.875,0.0,10.0,59.9835,-0.501,8.442,NONE,0.1057
0.1,0.0017,0.0017,CC_CV_CHARGING,239.852,297.885,0.072,0.017,0.014,24.655,25.801,0.0,10.0,60.0962,-0.067,-8.158,NONE,0.1774
0.15,0.0025,0.0025,CC_CV_CHARGING,239.932,298.083,0.027,0.006,0.021,24.531,25.653,0.0,10.0,60.0303,-0.086,-0.896,NONE,0.1388
0.2,0.0033,0.0033,CC_CV_CHARGING,240.036,298.02,0.115,0.027,0.028,25.216,25.636,0.0,10.0,59.9939,-0.001,1.752,NONE,0.0576
0.25,0.0042,0.0042,CC_CV_CHARGING,240.067,298.274,0.803,0.186,0.035,25.671,25.705,0.0,10.0,59.9893,0.046,13.753,NONE,0.0623
0.3,0.005,0.005,CC_CV_CHARGING,239.634,298.002,0.844,0.195,0.042,25.464,25.821,0.0,10.0,60.0617,-0.437,0.834,NONE,0.0357
0.35,0.0058,0.0058,CC_CV_CHARGING,240.238,298.086,0.636,0.147,0.049,25.381,25.737,0.0,10.0,59.96,0.483,-4.164,NONE,0.0552
0.4,0.0067,0.0067,CC_CV_CHARGING,240.277,298.089,0.495,0.115,0.056,25.156,25.898,0.0,10.0,59.9824,0.188,-2.82,NONE,0.0966
0.45,0.0075,0.0075,CC_CV_CHARGING,240.148,298.051,0.617,0.143,0.062,24.901,26.055,0.0,10.0,60.0136,0.072,2.435,NONE,0.1426
0.5,0.0083,0.0083,CC_CV_CHARGING,240.12,298.005,0.83,0.192,0.069,24.99,25.894,0.0,10.0,59.9737,0.157,4.268,NONE,0.1189
0.55,0.0092,0.0092,CC_CV_CHARGING,239.262,297.587,1.048,0.242,0.076,25.11,25.778,0.0,10.0,59.9762,-0.89,4.361,NONE,0.0882
0.6,0.01,0.01,CC_CV_CHARGING,239.338,298.702,1.11,0.256,0.083,25.704,25.848,0.0,10.0,59.9994,-0.489,1.243,NONE,0.0088
0.65,0.0108,0.0108,CC_CV_CHARGING,240.246,297.345,1.006,0.233,0.09,25.424,25.886,0.0,10.0,60.0032,0.2,-2.089,NONE,0.0525
0.7,0.0117,0.0117,CC_CV_CHARGING,239.317,297.314,1.641,0.379,0.097,25.056,25.886,0.0,10.0,60.0168,-0.68,12.699,NONE,0.1414
0.75,0.0125,0.0125,CC_CV_CHARGING,240.204,298.416,1.454,0.337,0.104,26.036,26.046,0.0,10.0,60.0256,0.088,-3.74,NONE,0.0008
