timestamp_s,real_min,sim_hour,session_state,ac_voltage_v,pack_voltage_v,charge_current_a,charge_power_kw,soc_pct,pack_temp_c,connector_temp_c,connector_wear_pct,pilot_duty_pct,line_freq_hz,line_noise_v,dI_dt_a_per_s,anomaly_label,anomaly_score_0_1
0.0,0.0,0.0,CC_CV_CHARGING,240.242,297.35,0.0,0.0,0.0,24.957,25.914,0.0,10.0,59.9831,0.26,0.0,NONE,0.1149
0.05,0.0008,0.0008,CC_CV_CHARGING,239.618,297.317,0.179,0.041,0.007,25.194,25.871,0.0,10.0,59.9829,-0.338,3.575,NONE,0.0967
0.1,0.0017,0.0017,CC_CV_CHARGING,240.347,298.611,0.0,0.0,0.014,24.824,25.873,0.0,10.0,59.9965,0.439,-3.575,NONE,0.1437
0.15,0.0025,0.0025,CC_CV_CHARGING,239.964,298.732,0.341,0.079,0.021,24.673,25.685,0.0,10.0,59.9875,0.18,6.824,NONE,0.1511
0.2,0.0033,0.0033,CC_CV_CHARGING,239.981,298.506,0.409,0.095,0.028,25.234,25.817,0.0,10.0,59.9553,0.059,1.364,NONE,0.0713
0.25,0.0042,0.0042,CC_CV_CHARGING,240.138,297.816,0.278,0.064,0.035,24.955,25.755,0.0,10.0,59.99,-0.006,-2.629,NONE,0.1055
0.3,0.005,0.005,CC_CV_CHARGING,240.145,298.697,1.003,0.232,0.042,25.212,25.716,0.0,10.0,59.9444,0.286,14.506,NONE,0.1198
0.35,0.0058,0.0058,CC_CV_CHARGING,240.005,298.811,0.72,0.167,0.049,24.9,25.702,0.0,10.0,60.0099,-0.114,-5.674,NONE,0.1151
0.4,0.0067,0.0067,CC_CV_CHARGING,240.109,297.973,0.864,0.2,0.056,25.231,25.809,0.0,10.0,59.9659,-0.008,2.889,NONE,0.0725
0.45,0.0075,0.0075,CC_CV_CHARGING,240.188,297.62,0.654,0.152,0.062,25.109,25.743,0.0,10.0,60.002,0.17,-4.193,NONE,0.0884
0.5,0.0083,0.0083,CC_CV_CHARGING,240.218,297.536,1.099,0.255,0.069,25.136,25.8,0.0,10.0,60.0178,0.132,8.895,NONE,0.1097
0.55,0.0092,0.0092,CC_CV_CHARGING,239.792,296.937,0.907,0.21,0.076,24.705,25.804,0.0,10.0,60.0119,-0.049,-3.835,NONE,0.1391
0.6,0.01,0.01,CC_CV_CHARGING,240.022,298.222,0.872,0.202,0.083,25.354,25.795,0.0,10.0,60.0397,0.035,-0.715,NONE,0.045
0.65,0.0108,0.0108,CC_CV_CHARGING,240.186,298.155,1.841,0.427,0.09,25.259,25.71,0.0,10.0,60.0295,0.138,19.396,NONE,0.1268
